, x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16
L1, 0.7175994, -2.5046586, -1.6152269, 0.8965343, 0.1190849, -0.0628998, 0.0436876, -0.2479541, -0.0735693, -0.1413006, 0.0459709, 0.0397025, 0.0625791, 0.0383073, -0.0062957, 0.0393782
L2, 4.1344458, 0.0607764, -1.259834, 0.7274075, -0.2919738, 0.2596388, 0.0310706, -0.2669992, 0.0599876, 0.2003396, -0.1097111, -0.0494356, -0.0700463, 0.0192615, -0.0279217, 0.0226129
L3, 5.4827793, -2.7871732, 2.5432694, -0.0758585, 0.0537718, 0.0570425, -0.0114235, 0.1808941, -0.1217605, 0.1033542, -0.0306297, 0.0297145, 0.0955613, -0.003944, 0.0048884, -0.0002167
L4, 4.718953, -3.3086845, -0.6084439, -0.8949378, 0.0012937, 0.1419402, -0.0037608, 0.3146427, 0.1002065, -0.1842393, 0.0080206, -0.0374469, -0.0897762, -0.039129, -0.0217566, -0.0002955
L5, -5.5430555, -1.3422177, -0.3640564, -0.2156747, 0.3452028, 0.0635939, -0.6058372, 0.17159, -0.3348001, 0.1209697, 0.0619162, -0.0510471, -0.0474299, 0.0731989, -0.0058831, -0.0050759
L6, -4.5796428, 0.133894, -0.7962995, 0.467846, 0.3857073, 0.1904708, -0.3836788, 0.1897965, 0.3172577, 0.0362082, -0.0450979, -0.0298969, 0.0912307, -0.1052268, -0.024739, -0.0053571
L7, -2.6014387, 0.6923124, -0.5558359, -0.615069, 0.3042378, 0.0660703, 0.118302, 0.1479418, -0.0938684, -0.0875367, -0.2398802, 0.0348035, -0.0205236, 0.0200856, 0.0508331, 0.0151377
L8, 7.5940571, 3.7164046, -0.6329582, -0.764856, 0.5274963, 0.3425519, -0.1603262, 0.0282163, -0.0856923, 0.0715728, 0.0378332, -0.0050416, 0.04658, 0.0162787, -0.0054586, -0.0076626
L9, -0.3681188, 1.9732793, -0.8014689, -0.8674853, 0.2019581, -0.2319193, 0.066643, -0.0085758, -0.0135542, -0.1617791, 0.0996941, 0.0550219, 0.0001045, -0.0083004, -0.0174306, 0.0197414
L10, -2.1277394, 0.35693, 0.5017981, -0.3241405, -0.2111356, -0.4347363, 0.0760467, 0.1839831, 0.0945847, 0.1529396, -0.0062058, 0.1898833, -0.0074659, 0.0170889, -0.0331969, 0.0288843
L11, 0.3990797, -0.1932272, -0.417856, -0.4692025, -0.1780344, -0.6266629, 0.1398117, 0.1404683, 0.4074599, 0.1096838, 0.0477653, -0.1158133, 0.0120894, 0.0673953, 0.0455885, -0.0027593
L12, -0.0817122, 0.0718513, 0.5423404, -0.2187308, -0.1023959, -0.1694586, -0.0388846, -0.188194, -0.0818223, 0.0608677, 0.0482394, 0.006122, -0.068334, -0.0853619, 0.0289946, -0.0021746
L13, -3.7533118, 0.020733, -0.6991323, -0.0314116, -0.1304437, 0.2633674, 0.8808315, 0.2080729, -0.2455228, 0.0890995, 0.0400746, -0.0638336, 0.0348825, -0.0230853, -0.0250771, -0.0165239
L14, -2.8939646, 0.2994345, 0.8738953, -0.2649622, -0.7524385, 1.040526, -0.0495063, -0.0626807, 0.2220211, -0.040641, 0.0689272, 0.046396, -0.0074065, 0.0366015, 0.0314275, 0.0084166
L15, 2.0608774, 2.3400114, 0.2145521, 1.6612325, -0.8299893, -0.2475999, -0.1911039, 0.4358371, -0.1475882, -0.1214712, 0.0039484, -0.0220104, -0.0156543, -0.0062755, 0.005302, 0.0009631
L16, 0.6395635, -0.774595, -0.8965901, 0.513376, 0.1075748, -0.0513461, 0.0077592, -0.2058236, 0.0167362, -0.0136764, 0.016529, 0.0305959, 0.0732408, 0.0199009, 0.0171885, -0.0183186
L17, 0.2750297, -0.3949855, -0.3008872, 0.2513597, 0.0420314, -0.1202405, -0.0081678, -0.213866, -0.0124157, 0.1100352, 0.0370305, 0.0586533, -0.0780559, -0.0689268, 0.0064788, -0.0176501
L18, -0.0291517, -0.1891725, -0.1499605, 0.1361745, -0.009563, -0.1384889, 0.0006647, -0.1653443, -0.0835215, -0.0577984, -0.0091486, 0.0401057, 0.0114511, -0.0098124, 0.0706136, -0.051565
L19, -1.9328193, 0.6787063, 1.4391892, -0.7704923, -0.4086174, -0.248641, -0.1144323, -0.3645329, -0.1422006, -0.0583002, -0.0277194, -0.1259378, 0.0464866, -0.0385848, -0.0069559, 0.0435008
L20, -1.0692657, 0.2722206, 0.7319894, -0.2997644, -0.2982442, -0.1646204, -0.0548261, -0.2317697, 0.0747331, -0.111295, -0.0732885, 0.003291, -0.001509, 0.0533119, -0.0821056, -0.0625124
L21, -1.0421645, 0.8781603, 2.2515157, 1.1586551, 1.1244769, 0.0714116, 0.2571309, -0.0457024, 0.143329, -0.0770325, 0.0257317, -0.0338265, -0.0680046, 0.0272163, -0.0044939, 0.0114766