, r0, a1, b1, l_min
L1, 1.6849225, 4.30691252, 1.22522274, 3.967878203
L2, 1.857201, 2.79489556, 1.49003071, 2.261210639
L3, 1.96553849, 2.99475571, 2.11884326, 3.330072112
L4, 2.031704, 2.46002714, 1.32688362, 2.698715969
L5, 1.15989059, 5.00739606, 1.23129866, 2.916013909
L6, 1.23634063, 4.180661, 1.41523313, 2.365793496
L7, 1.423783, 2.6201967, 1.36442815, 1.419142672
L8, 1.89800167, 3.13247494, 2.14004254, 4.614209188
L9, 1.55741545, 2.1321832, 0.60827427, 1.112409225
L10, 1.41769863, 2.88008531, 1.8464783, 1.487997998
L11, 1.63650824, 2.55501176, 1.41819046, 1.481564614
L12, 1.56936197, 2.872947, 1.81647964, 1.744402255
L13, 1.32985495, 2.67860603, 1.41986641, 2.193180949
L14, 1.36612684, 2.86534464, 1.84039769, 2.947723337
L15, 1.66894089, 4.6526091, 1.63986882, 3.094126153
L16, 1.65605424, 2.66748796, 1.42106389, 2.436876556
L17, 1.6180568, 2.74435189, 1.55317995, 2.020044177
L18, 1.59373046, 2.76714249, 1.59211724, 1.863471569
L19, 1.39814356, 2.98494467, 2.2579184, 2.045091421
L20, 1.4936288, 2.8919265, 1.87351489, 1.840206039
L21, 1.41536831, 4.862794, 1.97444194, 2.282401366